class,采集时段,总风速,纵桥向风速,横桥向风速,竖向风速,平均风向,平均风功角,Ix,Iy,Iz
14,2021-04-27 21:20:00.000,2.0017046691030185,-0.7085137691547433,1.8468642202274554,0.0040115697602927936,146.373,0.115,0.09140442772398394,0.1536062457559492,0.0006476955064363973
15,2021-04-27 21:30:00.000,1.7861782652124885,-1.2383671885123275,1.2247853079387487,0.0035404469124394157,25.935,0.111,0.15788155296228196,0.1982251662043524,0.0009190205213339387
16,2021-04-27 21:40:00.000,2.4291154410086424,-2.336625210858416,0.605355435675123,0.002538079091609735,55.73,0.059,0.13604560926127438,0.1063669786220029,0.00047243024770617835
17,2021-04-27 21:50:00.000,2.512087956068151,-2.2853195150080157,1.0325670679200867,0.003666994109660484,45.742,0.085,0.09708160548615412,0.09229563789771365,0.0003826039923525117
18,2021-04-27 22:00:00.000,1.8554832098524272,-1.7820454492114877,0.16029973305820716,0.0019791174486927412,67.283,0.057,0.30569728244140026,0.09486162623139294,0.0008162271702899026
19,2021-04-27 22:10:00.000,1.3583803330569686,-1.1870070861501694,-0.5689986238949054,-0.00034858368325631944,95.321,-0.016,0.2613660302617106,0.17795957775706567,0.002221762729977039
20,2021-04-27 22:20:00.000,1.188148521857345,-1.170590859040331,-0.04336995119267184,0.0010424909659907985,70.959,0.057,0.14656448722770318,0.30955637766871097,0.0010705553581898304
21,2021-04-27 22:30:00.000,1.2235530189963144,-1.1139941590291769,0.44912065524157835,0.0015667195076231773,49.059,0.076,0.25683519776524794,0.21396939510857588,0.002609605775728615
22,2021-04-27 22:40:00.000,1.5036119077132486,-1.433378709214742,0.3328589532343355,0.002353189712536814,56.794,0.091,0.17860978034036074,0.17383782378741433,0.0009579315119009999
23,2021-04-27 22:50:00.000,1.131112674466634,-1.1215882463104658,-0.028098413491421653,0.0012510417100561307,71.533,0.068,0.12682922033680602,0.1643353050110693,0.0011511944534781297
24,2021-04-27 23:00:00.000,0.9710077632702554,-0.9322712861956206,-0.1920586969417665,-0.0002602635287070071,81.899,-0.016,0.2040184229346541,0.13809863132241207,0.0013486856127978533
25,2021-04-27 23:10:00.000,1.0893939833818231,-1.054412115881884,-0.017095546732863606,0.00097754843213542,72.282,0.053,0.26575922587899986,0.184643337042947,0.0015225060218448923
26,2021-04-27 23:20:00.000,0.8325256167661997,-0.7427579027735268,-0.19057391961734554,0.0010188884116107313,83.117,0.07,0.4391691562923493,0.23749235970319538,0.0023414260996143005
27,2021-04-27 23:30:00.000,1.0532959103424375,-0.9652237690622542,0.1502213875319042,0.002824344030472637,64.262,0.159,0.44863418752362344,0.18877537408683676,0.0023162856005265998
28,2021-04-27 23:40:00.000,1.0722545494783693,-1.0296343962203611,0.18240946445117007,0.0008248104794803947,60.647,0.041,0.24145916073979418,0.15501142936434292,0.001738394107015842
29,2021-04-27 23:50:00.000,0.5844763426569372,-0.540147306245713,0.09074538001895223,0.0007265061509194058,64.142,0.077,0.39092015713568423,0.31806247580805586,0.0029068615188653788
30,2021-04-28 00:00:00.000,0.7975995916336032,-0.7586024779545018,-0.15847696164349362,1.446263513063887e-05,81.742,0.003,0.24131006146752954,0.3305941131892483,0.002077459222918221
31,2021-04-28 00:10:00.000,1.1043920547064787,-0.8709502886691807,-0.6365672456309606,-0.0006278025137988288,105.682,-0.033,0.22503503269378758,0.1809644297019692,0.0020080299721004814
32,2021-04-28 00:20:00.000,0.9928493918313244,-0.7010834110229723,-0.6472979233797582,-0.0008288388629762194,113.77,-0.047,0.2700974429340296,0.33258402064253995,0.003022267163475269
33,2021-04-28 00:30:00.000,0.9451275262633787,-0.6752354982352637,-0.6283414611986552,-0.0002090666932586252,112.81,-0.024,0.24828773973213408,0.32921953045114344,0.002929628363280354
34,2021-04-28 00:40:00.000,0.731522204998923,-0.44328612152785185,-0.5435378956107945,-0.00028185010586344474,120.827,-0.024,0.3242051276090759,0.3190605033574682,0.004227870087633952
