class,采集时间,竖向加速度平均值,竖向加速度标准差
50,2021-04-28 03:20:00.000,-7.060117476960045e-07,0.0003781044359930678
51,2021-04-28 03:30:00.000,8.495551918784667e-06,0.001634766878153452
52,2021-04-28 03:40:00.000,-1.106334260138109e-05,0.004173478356804058
53,2021-04-28 03:50:00.000,2.3951308376753923e-05,0.007479954209960386
54,2021-04-28 04:00:01.000,-7.126283740173163e-06,0.0019724619444646636
55,2021-04-28 04:10:00.000,2.317484313816173e-06,0.006726537051150655
56,2021-04-28 04:20:00.000,-1.0006592460346707e-06,0.004450056818922191
57,2021-04-28 04:30:00.000,3.0003625021099965e-07,0.0027953907260403537
58,2021-04-28 04:40:00.000,-2.6296508458231302e-05,0.007371471120458499
59,2021-04-28 04:50:00.000,-4.083791838361936e-05,0.00611368808097794
60,2021-04-28 05:00:00.000,1.160502023106673e-05,0.004662258422628311
61,2021-04-28 05:10:00.000,3.61684463593242e-05,0.0050302055883541105
62,2021-04-28 05:20:00.000,2.7197271359052515e-05,0.006081115376577914
63,2021-04-28 05:30:00.000,-1.178443972958353e-05,0.005043671496055074
64,2021-04-28 05:40:00.000,4.125315341339968e-05,0.007691176343301127
65,2021-04-28 05:50:00.000,1.2135034776110278e-05,0.009755073406732265
66,2021-04-28 06:00:00.000,-1.4921523752916588e-05,0.009784933237577424
67,2021-04-28 06:10:00.000,3.682963447466791e-05,0.008037935688219675
68,2021-04-28 06:20:00.000,3.916434692634932e-05,0.0042468848834326675
69,2021-04-28 06:30:00.000,1.7702412212085098e-05,0.006775730949470501
70,2021-04-28 06:40:00.000,7.89655963867319e-06,0.008013288490254284
71,2021-04-28 06:50:00.000,4.512806523646755e-07,0.0028041076703083988
72,2021-04-28 07:00:00.000,-1.6989464047061607e-05,0.006149050523460029
73,2021-04-28 07:10:00.000,-6.029182121098364e-06,0.005656729351968046
74,2021-04-28 07:20:00.000,-8.971235812325779e-07,0.004360125467521068
75,2021-04-28 07:30:00.000,7.038325256442928e-07,0.006055644393203541
76,2021-04-28 07:40:00.000,-2.762443887499373e-06,0.0032393524758792874
77,2021-04-28 07:50:00.000,-1.3390641573052682e-05,0.004059903420809563
78,2021-04-28 08:00:00.000,-7.219520045409125e-06,0.00701402474474257
79,2021-04-28 08:10:00.000,-1.2127055231931824e-05,0.004764089967197519
80,2021-04-28 08:20:00.000,1.689137782230165e-05,0.005334130987680635
81,2021-04-28 08:30:00.000,9.82035976830278e-06,0.00735529152883741
82,2021-04-28 08:40:00.000,-7.078474347969619e-07,0.00592719517652373
83,2021-04-28 08:50:00.000,7.484034162689633e-06,0.005492610480058831
84,2021-04-28 09:00:00.000,3.3754143430111365e-07,0.004544971428768194
85,2021-04-28 09:10:00.000,1.6519791850296593e-06,0.005400036130797976
86,2021-04-28 09:20:00.000,3.291321826380783e-06,0.00475222017748961
87,2021-04-28 09:30:00.000,-3.0659742335840144e-06,0.005842879448325217
88,2021-04-28 09:40:00.000,-3.527763149660579e-06,0.006049854101588241
89,2021-04-28 09:50:00.000,-3.7879512528292804e-07,0.003660389440444931
90,2021-04-28 10:00:00.000,9.523073277495224e-06,0.00656591164967608
91,2021-04-28 10:10:00.000,-2.9728558091892735e-07,0.0046008790437871315
92,2021-04-28 10:20:00.000,2.0578788881120573e-06,0.0067253871242484746
