class,采集时间,竖向变位平均值,竖向变位标准差
136,2021-04-28 17:40:15,25.83196924603171,5.743662653426547
137,2021-04-28 17:50:15,26.18845204359461,5.2849611952228575
138,2021-04-28 18:00:15,25.152846057451306,5.209073586756396
139,2021-04-28 18:10:15,24.690184183134292,4.486903872755952
140,2021-04-28 18:20:15,22.52229036964592,6.213262502990262
141,2021-04-28 18:30:15,22.4608134920635,5.215513160990368
142,2021-04-28 18:40:15,21.441629160415633,5.652099882181151
143,2021-04-28 18:50:15,18.9311755952381,5.887198854134728
144,2021-04-28 19:00:15,18.3371624959169,8.474174175539044
145,2021-04-28 19:10:15,18.586264626534508,3.5760554150579185
146,2021-04-28 19:20:15,17.377016404167872,3.73775596349049
147,2021-04-28 19:30:15,15.45582903256635,9.477900510530402
148,2021-04-28 19:40:15,15.200834251079337,5.04358835869735
149,2021-04-28 19:50:15,15.64294519286954,3.696710802762878
150,2021-04-28 20:00:15,13.884016180063268,4.376947976332271
151,2021-04-28 20:10:15,12.85637014437268,3.884954617270725
152,2021-04-28 20:20:15,11.600260416666723,4.076620946330323
153,2021-04-28 20:30:15,9.804649780140004,4.33062593507508
154,2021-04-28 20:40:15,8.444697241847265,4.833390760519321
155,2021-04-28 20:50:15,6.911773481322325,5.06758705976132
156,2021-04-28 21:00:15,7.039927419290044,4.144307598737454
157,2021-04-28 21:10:15,4.793260519930403,5.18824857818927
158,2021-04-28 21:20:15,4.101747612697378,5.042446554558243
159,2021-04-28 21:30:15,3.8929172328033506,4.269761565885537
160,2021-04-28 21:40:15,2.925460294969821,5.790432236513792
161,2021-04-28 21:50:15,2.9628830611213557,4.997317920015415
162,2021-04-28 22:00:15,1.9224950396824825,5.933860651787678
163,2021-04-28 22:10:15,2.067686376193608,5.268055821374018
164,2021-04-28 22:20:15,-0.06888640873023573,5.029645374850086
165,2021-04-28 22:30:15,-4.406841664284134,15.419853192345723
166,2021-04-28 22:40:15,-1.4356177984897844,5.811790978665668
167,2021-04-28 22:50:15,-1.9908666539427657,5.658394951059517
168,2021-04-28 23:00:15,-2.170626085251777,5.424666544779521
169,2021-04-28 23:10:15,-3.216832791295287,5.473268150200787
170,2021-04-28 23:20:15,-4.684779556304469,6.000020159213879
171,2021-04-28 23:30:15,-4.761312311810021,6.718395119158454
