class,采集时间,横向加速度平均值,横向加速度标准差
25,2021-05-04 04:10:00.000,3.3393689394359755e-07,0.00033541146637136566
26,2021-05-04 04:20:00.000,-9.625090793721258e-07,0.0007316703345360692
27,2021-05-04 04:30:00.000,3.4292568333815606e-07,0.000724571856367728
28,2021-05-04 04:40:00.000,7.203347807277935e-07,0.000799136917367639
29,2021-05-04 04:50:00.000,2.922644764620655e-06,0.0013466964554237945
30,2021-05-04 05:00:00.000,2.620062521377437e-07,0.0007340110373803688
31,2021-05-04 05:10:00.000,1.2491167246008902e-06,0.0007452132691761203
32,2021-05-04 05:20:00.000,1.4137494943014996e-06,0.0009647275284435132
33,2021-05-04 05:30:00.000,4.935974578999063e-07,0.001295551399328571
34,2021-05-04 05:40:00.000,4.115483015569172e-07,0.0009752694707340591
35,2021-05-04 05:50:00.000,1.3960369360618806e-06,0.0013180686222716016
36,2021-05-04 06:00:00.000,-4.7630553101974285e-07,0.0010763932977679242
37,2021-05-04 06:10:00.000,-1.242801446536697e-07,0.0006437818756056214
38,2021-05-04 06:20:00.000,-1.1610013588472894e-06,0.00046190682267592786
39,2021-05-04 06:30:00.000,-7.547484688412812e-07,0.00044753027075099055
40,2021-05-04 06:40:00.000,8.674569599363378e-08,0.000815174442619644
41,2021-05-04 06:50:00.000,1.5840637974716066e-06,0.0007881711135586935
42,2021-05-04 07:00:00.000,1.9570741475223807e-06,0.0010862443358165622
43,2021-05-04 07:10:00.000,-6.607480043566654e-07,0.0006144800815434099
44,2021-05-04 07:20:00.000,-3.7864181864886767e-07,0.0005705252069760249
45,2021-05-04 07:30:00.000,2.450747357188941e-07,0.000631444551498818
46,2021-05-04 07:40:00.000,1.4980694032725568e-06,0.0009735197928065401
47,2021-05-04 07:50:00.000,1.3694246430431069e-06,0.0007576196213855096
48,2021-05-04 08:00:00.000,3.0836116109157757e-07,0.0008201403548007266
49,2021-05-04 08:10:00.000,5.60530648710307e-08,0.00048805619330186
50,2021-05-04 08:20:00.000,7.214977060587174e-07,0.0004967912029193189
51,2021-05-04 08:30:00.000,8.02740936402909e-08,0.0004807881541529305
52,2021-05-04 08:40:00.000,-1.076254534590533e-06,0.000869183135255603
53,2021-05-04 08:50:00.000,6.868549134012193e-07,0.0008618931054974819
54,2021-05-04 09:00:00.000,2.5439811030794833e-07,0.0010596783037939898
55,2021-05-04 09:10:00.000,5.166302013638935e-07,0.0009902095881079917
56,2021-05-04 09:20:00.000,2.915326797613194e-07,0.0006813505063464768
57,2021-05-04 09:30:00.000,-9.99768914755889e-07,0.0005628825753159286
58,2021-05-04 09:40:00.000,-2.2358995870811868e-06,0.0006466215788844104
59,2021-05-04 09:50:00.000,5.240148621444714e-07,0.0007891525831419893
60,2021-05-04 10:00:00.000,1.7921879243029754e-06,0.000660667102159065
61,2021-05-04 10:10:00.000,-1.453660087523429e-06,0.0008306599812074885
62,2021-05-04 10:20:00.000,1.4807339321718957e-07,0.000867925644903568
63,2021-05-04 10:30:00.000,-3.042195638880557e-06,0.0012621162206451295
64,2021-05-04 10:40:00.000,1.1176163776559816e-06,0.0006017368000660006
65,2021-05-04 10:50:00.000,2.6810819429771486e-06,0.0007536960918754288
66,2021-05-04 11:00:00.000,1.8265611751938125e-07,0.0007492058771258431
67,2021-05-04 11:10:00.000,-3.22847302633784e-06,0.0009421194546503894
68,2021-05-04 11:20:00.000,-8.339536626810565e-07,0.000752931364670744
69,2021-05-04 11:30:00.000,8.970270883546877e-07,0.0006710942036831851
70,2021-05-04 11:40:00.000,-4.257298679476283e-07,0.0006682381439991899
71,2021-05-04 11:50:00.000,1.1398494946671122e-06,0.0011567248407717491
72,2021-05-04 12:00:00.000,-1.4551168247284387e-06,0.0009682038169351633
73,2021-05-04 12:10:00.000,6.714138243737202e-07,0.0006870323211610206
74,2021-05-04 12:20:00.000,-4.533629719068973e-07,0.0006823534408065326
75,2021-05-04 12:30:00.000,2.4497233844284774e-07,0.0008881484266027333
76,2021-05-04 12:40:00.000,-2.351114799650168e-06,0.0006512583897863122
77,2021-05-04 12:50:00.000,1.5655781366828703e-06,0.0007022124526541684
78,2021-05-04 13:00:00.000,-1.7858646341161174e-06,0.0006458857318312923
79,2021-05-04 13:10:00.000,-1.6416381488949852e-07,0.0005597791852693122
80,2021-05-04 13:20:00.000,-7.812357367451399e-08,0.0007536208016627964
81,2021-05-04 13:30:00.000,2.1266903681872022e-07,0.0007656630089386462
82,2021-05-04 13:40:00.000,-7.479158882868241e-06,0.0008804738018573573
83,2021-05-04 13:50:00.000,-6.051172097870815e-07,0.0007080297408544201
84,2021-05-04 14:00:00.000,1.1825633992047656e-06,0.0007561054238097052
85,2021-05-04 14:10:00.000,1.8283452779529366e-06,0.0008917372603824789
86,2021-05-04 14:20:00.000,9.770334224112242e-07,0.0007944708351415125
87,2021-05-04 14:30:00.000,2.2203646449859407e-07,0.0006131017705250395
88,2021-05-04 14:40:00.000,-3.346183451771068e-08,0.000634700691328346
89,2021-05-04 14:50:00.000,3.194160235508052e-07,0.0006213425286324521
90,2021-05-04 15:00:00.000,-4.619962577471272e-07,0.0005791277034829014
91,2021-05-04 15:10:00.000,1.773695071832508e-06,0.0008300162964500273
92,2021-05-04 15:20:00.000,-5.321186089445688e-07,0.0008866881115677562
93,2021-05-04 15:30:00.000,-2.1368287907440867e-06,0.0008073453106655338
94,2021-05-04 15:40:00.000,2.0294546536248387e-07,0.0006018192916413562
95,2021-05-04 15:50:00.000,-5.6151211218290186e-08,0.0006062783046545783
96,2021-05-04 16:00:00.000,-4.696448716040551e-07,0.0006041853896948172
97,2021-05-04 16:10:00.000,-1.4957063842558648e-07,0.000656313399652101
98,2021-05-04 16:20:00.000,-7.048708236285363e-07,0.0007563392810643896
99,2021-05-04 16:30:00.000,-1.4960602311253954e-06,0.0007340062374551498
100,2021-05-04 16:40:00.000,-1.1716385892891682e-06,0.0009002161841472724
101,2021-05-04 16:50:00.000,-1.3328491438868035e-06,0.0006435459244424583
102,2021-05-04 17:00:00.000,-3.172641805447164e-07,0.0007205891726607214
103,2021-05-04 17:10:00.000,-6.167987466434315e-07,0.0007611515983302285
104,2021-05-04 17:20:00.000,2.985933285785874e-07,0.0008070659684900445
105,2021-05-04 17:30:00.000,-3.7271072597642966e-07,0.0006796547172706452
106,2021-05-04 17:40:00.000,-3.6446533079371766e-07,0.0007613810435654338
107,2021-05-04 17:50:00.000,8.820532926970855e-07,0.000577524330325209
108,2021-05-04 18:00:00.000,-3.171010448623573e-08,0.0008553998654095565
109,2021-05-04 18:10:00.000,1.5716190375774237e-06,0.0005196902956267214
110,2021-05-04 18:20:00.000,5.719443751988894e-07,0.0005589747867829178
111,2021-05-04 18:30:00.000,1.714025528808867e-07,0.0004965059199134373
112,2021-05-04 18:40:00.000,-1.4741297657051938e-06,0.0007844780354389582
113,2021-05-04 18:50:00.000,3.043017711770477e-07,0.0004450231896874703
114,2021-05-04 19:00:00.000,-2.9986630500165805e-07,0.0007208763929740296
115,2021-05-04 19:10:00.000,1.0506069052298372e-06,0.0005232878249315096
116,2021-05-04 19:20:00.000,5.92766911565533e-06,0.000713239603003659
117,2021-05-04 19:30:00.000,1.0039623821489897e-05,0.0010890887690828627
118,2021-05-04 19:40:00.000,-1.1006445965456166e-05,0.0008857497599834727
119,2021-05-04 19:50:00.000,-1.4662136851903626e-06,0.0007437701925959803
120,2021-05-04 20:00:01.000,-5.247282465884503e-07,0.0006306932910719993
121,2021-05-04 20:10:00.000,1.0494852662615532e-05,0.000747025204638651
122,2021-05-04 20:20:00.000,5.2983936084055954e-06,0.0011010260491145535
123,2021-05-04 20:30:00.000,-3.6719388061410148e-06,0.0008390701544680288
124,2021-05-04 20:40:00.000,-9.07474277543761e-06,0.001274847346638991
125,2021-05-04 20:50:00.000,-3.6485790337437336e-06,0.0012167019228760602
126,2021-05-04 21:00:00.000,-3.6648362470708717e-07,0.0007603207669298578
127,2021-05-04 21:10:00.000,-1.938493385639869e-07,0.0007742460554952397
128,2021-05-04 21:20:00.000,-1.945047631549284e-08,0.00108917569779216
129,2021-05-04 21:30:01.000,4.316783170394127e-07,0.0008938669897424235
130,2021-05-04 21:40:00.000,-1.0207216329902462e-06,0.0012401471751542386
131,2021-05-04 21:50:00.000,2.0680727661616438e-06,0.000901107563291125
132,2021-05-04 22:00:00.000,1.8140996101899228e-06,0.0011419428718525506
133,2021-05-04 22:10:00.000,1.253935492851545e-07,0.0008220884025906901
134,2021-05-04 22:20:01.000,-7.406785625989003e-07,0.0009464050592096311
135,2021-05-04 22:30:00.000,-1.543840627945964e-06,0.0014268382699249955
136,2021-05-04 22:40:00.000,2.6891539189929106e-06,0.001638677448398073
137,2021-05-04 22:50:00.000,1.8820779845591126e-06,0.0008564296076449124
138,2021-05-04 23:00:00.000,-6.048382199251572e-06,0.0012262691463747115
139,2021-05-04 23:10:00.000,7.612523526099832e-07,0.0008430641408391952
140,2021-05-04 23:20:00.000,-4.4160858105549536e-07,0.0010953787964094685
141,2021-05-04 23:30:00.000,-1.7995003643815986e-07,0.00044989162422419784
142,2021-05-04 23:40:00.000,5.490417240150556e-07,0.0010716647064313858
143,2021-05-04 23:50:00.000,-1.3119318245224367e-06,0.0007117386198841904
144,2021-05-05 00:00:00.000,1.539316294003718e-07,0.0012109755121731517
145,2021-05-05 00:10:00.000,-1.3521095670368358e-07,0.0008223395223022242
146,2021-05-05 00:20:00.000,4.984732464307913e-08,0.0010952404148232113
147,2021-05-05 00:30:00.000,-9.096981439659629e-07,0.000999810015985207
148,2021-05-05 00:40:00.000,-9.774990386837827e-07,0.0009793302546797398
149,2021-05-05 00:50:00.000,-1.008728206597592e-06,0.0009923553499237372
150,2021-05-05 01:00:00.000,4.519950291963977e-07,0.0010599347890911874
151,2021-05-05 01:10:00.000,-1.0915244121562171e-06,0.0002812152917520106
152,2021-05-05 01:20:00.000,-7.225855640507674e-06,0.0011870865856375382
153,2021-05-05 01:30:00.000,5.135608527828786e-06,0.0005035360488226163
154,2021-05-05 01:40:00.000,2.633275843615848e-06,0.00085551520029369
155,2021-05-05 01:50:00.000,-2.3215400131912854e-06,0.0005815741276065365
156,2021-05-05 02:00:01.000,-1.25450354383779e-06,0.00036261996750847704
157,2021-05-05 02:10:00.000,2.2802951839769555e-06,0.0009740354037136265
158,2021-05-05 02:20:00.000,-6.70977576045885e-07,0.0012942657886154325
159,2021-05-05 02:30:01.000,-1.1399570091687562e-06,0.0005377180071074517
160,2021-05-05 02:40:00.000,2.1116109725001355e-06,0.00028397881614374807
161,2021-05-05 02:50:00.000,2.1196896075114265e-06,0.0004997753012427879
162,2021-05-05 03:00:01.000,-2.8378679444114777e-06,0.0006039119480345536
163,2021-05-05 03:10:00.000,1.2860121407078322e-06,0.0004389335236222389
