class,采集时间,纵向变位平均值,纵向变位标准差,横向变位平均值,横向变位标准差
98,2021-05-04 16:20:00.000,37.25184159809833,2.970293591530196,3.1364537668904426,4.5266732121578475
99,2021-05-04 16:30:00.000,35.95935924028391,2.3750780694302827,3.774753469116443,3.511001657029354
100,2021-05-04 16:40:00.000,35.84270529559112,3.6133029510514136,1.1757965557677417,3.739893438892954
101,2021-05-04 16:50:00.000,41.669883919875254,2.5674943914710355,2.210268128194123,2.217286727727413
102,2021-05-04 17:00:00.000,40.55007314093381,2.447783108611057,0.29444475483325455,2.693344976028104
103,2021-05-04 17:10:00.000,35.64947186241188,4.618747732357416,-1.6781416794427317,2.2652044884104074
104,2021-05-04 17:20:00.000,25.809287540945622,4.432857373147449,-4.780472171156374,3.138343510257119
105,2021-05-04 17:30:00.000,24.15406891290118,13.823882690250958,-3.4083295891652887,4.315681326059526
106,2021-05-04 17:40:00.000,34.2316206846422,4.005661322749699,3.62087078284281,2.505230336281815
107,2021-05-04 17:50:00.000,29.716095269750067,2.0068128871297133,2.7470456828881855,2.108602434107021
108,2021-05-04 18:00:00.000,17.029335533156637,2.9163305303650167,3.357118130422165,1.9002750342770989
109,2021-05-04 18:10:00.000,19.23333038369435,11.520958508216433,2.8771263770875493,9.314215455224124
110,2021-05-04 18:20:00.000,24.342922728240286,6.507689542598904,8.712377368457975,3.5500756127953936
111,2021-05-04 18:30:00.000,33.88389199817176,8.285691075130586,9.864723611631103,4.572261425061944
112,2021-05-04 18:40:00.000,20.893826885798624,6.796756773562662,10.401838801977128,1.8493386201744937
113,2021-05-04 18:50:00.000,37.64144621976577,5.01052076994109,10.242803567733514,2.07020978727429
114,2021-05-04 19:00:00.000,44.387815884921956,6.798389467605282,7.719378037754181,6.91479104757245
115,2021-05-04 19:10:00.000,23.390360933071605,13.120545194681043,0.07341145227784122,6.03950011977712
116,2021-05-04 19:20:00.000,18.624591151617295,10.57824901604419,0.47117003985014916,3.4134921848142445
117,2021-05-04 19:30:00.000,25.509815826059985,8.96608366595871,-7.710709056665495,9.892584876601834
118,2021-05-04 19:40:00.000,25.53415256326771,16.919669892114594,7.676569124113261,6.641371492588286
119,2021-05-04 19:50:00.000,39.60868746435476,13.456626165382543,2.8648016770640226,8.766367590214065
120,2021-05-04 20:00:00.000,34.90827443703565,20.289218641900828,0.9069147688630079,6.340087740948294
121,2021-05-04 20:10:00.000,37.37828799092904,13.424433329381376,12.563488639576285,15.236693684101338
122,2021-05-04 20:20:00.000,47.20247465095302,27.1084148218421,13.346475167720753,24.77611278230002
123,2021-05-04 20:30:00.000,25.28712756594897,19.864475218581934,5.788460453920031,46.628176092186614
124,2021-05-04 20:40:00.000,37.98056753598095,15.302932085743391,9.6784088777856,13.899811801988667
125,2021-05-04 20:50:00.000,20.855564189253155,8.15116569686046,10.629292399855679,15.074420029703223
126,2021-05-04 21:00:00.000,23.44501685679898,11.420618458213776,10.894554379370744,7.691420980218237
127,2021-05-04 21:10:00.000,28.197572032459554,8.554733674036598,6.241194662734336,7.316148304097386
128,2021-05-04 21:20:00.000,24.946371245284965,14.767372223186364,3.1196452449575807,16.169687915982884
129,2021-05-04 21:30:01.000,42.3904040310314,10.738346684199094,2.071338234169917,14.200357206925522
130,2021-05-04 21:40:00.000,47.747895515521535,31.430543537427045,1.4979471314953843,18.031185854495824
131,2021-05-04 21:50:00.000,37.38827332249974,20.091815455630798,-1.0431114327643338,8.298319081882479
132,2021-05-04 22:00:00.000,28.69758074215584,8.028312223722756,6.8249380176244685,7.712675418628446
133,2021-05-04 22:10:00.000,25.558402024658054,6.707687496063672,2.0423978318049727,6.28304698769127
134,2021-05-04 22:20:01.000,30.094528741666792,5.8003040911875985,7.122958516943209,6.402645677211757
135,2021-05-04 22:30:00.000,38.10970721024138,6.716708094744471,2.749536645776781,5.766874695503579
136,2021-05-04 22:40:00.000,36.57588949746144,8.493237043579153,4.963578484588461,6.1503195203706325
137,2021-05-04 22:50:00.000,35.44806881716315,4.298662125709469,2.0666771878988652,6.693868463388688
138,2021-05-04 23:00:00.000,41.39244928946474,5.699751910548672,7.63260923711193,11.315153567014724
139,2021-05-04 23:10:00.000,39.274749739612425,6.229822170208807,13.223449648020187,11.844594351159923
140,2021-05-04 23:20:00.000,38.54269343899474,6.297926478408251,18.427610122192817,17.954661476903112
141,2021-05-04 23:30:00.000,45.94918825497453,5.057495520675662,1.1856148939268545,10.42622194779152
142,2021-05-04 23:40:00.000,33.55937608227251,6.444075765926187,-2.315781100474409,6.112563105724623
143,2021-05-04 23:50:00.000,42.25091837801305,8.739019918854805,18.77093109702673,9.375170783667063
144,2021-05-05 00:00:00.000,54.80445466954239,9.04276268712901,31.416084791185416,18.12223671870055
145,2021-05-05 00:10:00.000,40.92160981875646,10.385891006671322,10.420272028687389,9.606688805993137
146,2021-05-05 00:20:00.000,44.07775272046814,4.1193494746219885,13.448509567801036,9.397660660046075
147,2021-05-05 00:30:00.000,44.02946895314844,3.99043596074906,12.538595640130126,4.054048557752684
148,2021-05-05 00:40:00.000,38.54405391292746,3.8702547250407497,5.116345091299722,7.53160466809458
149,2021-05-05 00:50:00.000,37.26389493239786,3.3973699342860546,-0.21596984912452882,3.7734687796172026
150,2021-05-05 01:00:00.000,43.4333942978127,4.712423865973161,-4.17989730300749,3.9570189771598514
151,2021-05-05 01:10:00.000,43.501800376604784,3.3691671679498265,-1.6457094122700557,2.8753673861935485
152,2021-05-05 01:20:00.000,51.63690894756396,3.1241395168024053,5.176456519847681,3.0996754842227747
153,2021-05-05 01:30:00.000,45.291882826622924,4.025262303474393,8.09333203026148,3.497296317984965
154,2021-05-05 01:40:00.000,45.19991088453105,3.6206995719690265,16.08795074515233,2.2986523969180044
155,2021-05-05 01:50:00.000,44.64354497465676,3.250503005380492,14.60751320724788,2.6434312209491964
156,2021-05-05 02:00:00.000,39.81524729001983,3.838674047071246,14.086502200435222,4.123540576278224
157,2021-05-05 02:10:00.000,45.61144453604547,4.800216366296516,13.027322660830023,3.158264791458129
158,2021-05-05 02:20:00.000,47.315509714586746,3.308943356571415,11.0419911150407,2.6671621565912593
159,2021-05-05 02:30:00.000,44.61266033172765,3.3112992065133193,12.142891628702282,2.200331455114131
160,2021-05-05 02:40:00.000,35.978177871988194,7.147362453408092,9.186001816492864,2.3015445880814918
161,2021-05-05 02:50:00.000,32.83702569883721,5.389532247765481,7.100290959454435,2.757392814055707
162,2021-05-05 03:00:00.000,36.409301808623304,4.679851142308609,6.9665029949079464,2.3712745779795035
163,2021-05-05 03:10:00.000,36.45713489207221,3.6628212628204024,3.899844300025377,3.471470931504495
164,2021-05-05 03:20:00.000,38.18424547629716,3.017105214436486,7.024466134840745,3.7729947812428786
